Num;Nom;Nature;Région;Département;Commune;Riviere;Date construction;Lat;Lon;Volume (Mm3);superficie (ha);altitude (mNGF);Usages;Hydroélectricité;Irrigation;Alim. en eau;Crues;Loisirs;Tourisme;Soutien d'étiage;Navigation;Nucléaire;Nb usages;Intérêt DREAL Occitanie;;Date réception données in-situ;Z;V;S;V/S/Z;Traitées;Z(t);S(t);V(t);V/S/Z;
321;Montdely;"Retenue ""classique""";Occitanie;Ariège;Gabre;Leze;1980;43,0575;1,43556;4;55;384;Hydroélectricité;1;;;;;;;;;1;1;;;;;;;;manque;manque;manque;manque;4
323;Monts d'Orb (Avène);"retenue ""linéaire"" - vallée de rivière";Occitanie;Hérault;Avène;L'Orb;1962;43,7653;3,09306;33,6;194;433;Irrigation/Alimentation en eau;;1;1;;;;;;;2;1;;20191230;2016-2019;oui;oui;oui;;fait;fait;fait;fait;1
348;Pareloup;"Retenue ""classique""";Occitanie;Aveyron;Canet-de-Salars;Violou;1953;44,2117;2,71111;169;1259;806;Hydroélectricité/eau potable/loisirs/soutien d’étiage;1;;1;;1;;1;;;4;1;;;;;;;;manque;manque;manque;manque;4
367;Pla de Soulcem;"Retenue ""classique""";Occitanie;Ariège;Auzat;Mounicou;1984;42,6767;1,45083;29,3;89,5;1581;Irrigation/Alimentation en eau/Hydroélectricité;1;1;1;;;;;;;3;1;;;;;;;;manque;manque;manque;manque;4
384;Portillon – lac d’Oô;"Retenue ""classique""";Occitanie;Haute-Garonne;Oô;Neste d'Oô;1951;42,7034;0,509722;6,8;36;2571;Hydroélectricité;1;;;;;;;;;1;1;;;;;;;;manque;manque;manque;manque;4
390;Puydarrieux;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Puydarrieux;Baisolle;1987;43,2953;0,426111;14,5;192;274;irrigation/loisirs;;1;;;1;;;;;2;1;;20191230;2016-2019;oui;non;non;;fait;fait;fait;fait;1
391;Puylaurent;"Retenue ""classique""";Occitanie;Lozère;la Bastide-Puylaurent;Le Chassezac;1996;44,53;3,88694;12,8;60;943;Irrigation/Alimentation en eau/Crues;;1;1;1;;;;;;3;1;;;;;;;;manque;manque;manque;manque;4
392;Puyvalador;"Retenue ""classique""";Occitanie;Pyrénées-Orientales;Réal;L'Aude;1932;42,6482;2,12528;9,9;2;1425;Alimentation en eau (potable);;;1;;;;;;;1;1;;;;;;;;manque;manque;manque;manque;4
398;Raschas;"retenue ""linéaire"" - vallée de rivière";Occitanie;Lozère;Prévenchères;Le Chassezac;1964;44,5067;3,92306;1,554;25;827;Hydroélectricité;1;;;;;;;;;1;1;;;;;;;;manque;manque;manque;manque;4
399;Rassisse;"Retenue ""classique""";Occitanie;Tarn;Mont-Roc;Le Dadou;1955;43,8058;2,35056;13;130;360;eau potable/soutien d’étiage/hydroélectricité;1;;1;;;;1;;;3;1;;20190910;non;non;non;oui;;manque;manque;manque;fait;2
438;Saint Ferréol;"Retenue ""classique""";Occitanie;Haute-Garonne;Vaudreuille;Laudot;?;43,4364;2,02083;6,37;67;350;Navigation;;;;;;;;1;;1;1;;20200108;2016-2019;non;non;non;;fait;fait;fait;fait;1
440;Saint Géraud;"Retenue ""classique""";Occitanie;Tarn;Andouque;Le cérou;1992;44,0306;2,31444;15;101;366;soutien d’étiage;;;;;;;1;;;1;1;;20190910;2016-2019;non;non;oui;;fait;fait;fait;fait;1
458;Sainte Cécile d'Andorge;"Retenue ""classique""";Occitanie;Gard;Sainte Cécile d'Andorge;Le Gardon d'Alès;1967;44,2428;3,98139;1,6;75;267;Hydroélectricité;1;;;;;;;;;1;1;;20190910;non;non;non;oui;;manque;manque;manque;fait;2
461;Sainte Marguerite Lafigère;"retenue ""linéaire"" - vallée de rivière";Occitanie;Lozère;Pied-de-Borne;Le Chassezac;1966;44,4722;3,98861;0,585;11;322;Irrigation;;1;;;;;;;;1;1;;;;;;;;manque;manque;manque;manque;4
462;Sainte Peyres;"retenue ""linéaire"" - vallée de rivière";Occitanie;Tarn;Saint-Amans-Valtoret;Arn;1936;43,5381;2,49139;34,67;210;670;Hydroélectricité/soutien d’étiage;1;;;;;;1;;;2;1;;20190910;non;non;non;oui;;manque;manque;manque;fait;3
463;Salagou;"Retenue ""classique""";Occitanie;Hérault;Clermont-l'Hérault;Le Salagou;1970;43,6561;3,40222;102;700;145;Hydroélectricité/Navigation;1;;;;;;;1;;2;1;;20191230;2016-2019;oui;non;oui;;fait;fait;fait;fait;1
475;Sénéchas;"retenue ""linéaire"" - vallée de rivière";Occitanie;Gard;Chambon;La Cèze;1977;44,3186;4,04833;16,2;25;271;Hydroélectricité;1;;;;;;;;;1;1;;20190910;non;non;non;oui;;manque;manque;manque;fait;2
500;Tordre;"Retenue ""classique""";Occitanie;Tarn-et-Garonne;Génébrières;Tordre;1992;44,0219;1,4575;3,2;64;133;irrigation;;1;;;;;;;;1;1;;20200111;2016-2019;oui;non;non;;fait;fait;fait;fait;1
540;Vinca;"Retenue ""classique""";Occitanie;Pyrénées-Orientales;Rodès;Têt;1978;42,6575;2,54417;24,6;177;247;Hydroélectricité;1;;;;;;;;;1;1;;20191230;2016-2019;oui;oui;non;;fait;fait;fait;fait;1
109;Charpal;"Retenue ""classique""";Occitanie;Lozère;Laubert (Mende);Colagne;1994;44,6244;3,56111;8,25;195;1326;Alimentation en eau / Hydroélectricité;1;;1;;;;1;;;3;1;;20190910;non;non;non;oui;;manque;manque;manque;fait;2
556;Villeneuve de la Raho ;"Retenue ""classique""";Occitanie;Pyrénées-Orientales;Villeneuve de la Raho ;Canal de Perpignan;1977;42,63126;2,90389;18;201;40;Irrigation agricole, loisirs, lutte incendie / soutien étiage;;1;;;1;1;1;;;4;1;;20191230;2016-2019;oui;oui;non;;fait;fait;fait;fait;1
336;des Olivettes;;;Hérault;Vaillan;Peyne;;;;;;;;;;;;;;;;;;;;20191230;2016-2019;oui;oui;non;;fait;fait;fait;fait;1
